,Номенклатура,,,Склад
SF-000105,Київ К-RND-34-Зп-2-186,"З'єднувач пластина, RND 34, Київ, 2мм, 186шт",шт,
SF-000272,RND-66-78-F5-2-63,"Хрестик, F5, RND 78, Київ К, 2мм, 63шт",шт,785
SF-000277,RND-112-Ппередній-5-50,"Промінь передній, RND 112, Рама 10"", Приватна особа, 5мм, 50шт",шт,
SF-000274,RND-112-Верх-2-20,"Верхня пластина, RND 112, Рама 10"", Приватна особа, 2мм, 20шт",шт,
SF-000276,RND-112-Нзад-2-31,"Нижня пластина задня, RND 112, Рама 10"", Приватна особа, 2мм, 31шт",шт,
SF-000263,ІП-63-64-KR-325-V-ВП-Планка-5-12,"Планка з'єднювання, ІП 63-64, KR 325 V-ВП, 5мм, 12шт",шт,
SF-000193,ІП-58-KR-325-V-ВП-К-4-6,"Кришка, KR 325 V-ВП 4мм, 6шт",шт,
SF-000234,RND-102-F5-П-5-147,"Промені, F5 V2, RND 102, Київ К, 5мм, 147шт",шт,
SF-000281,RND-118-В-3-42,"Верхня пластина, RND 118, Київ К, 3мм, 42шт",шт,
SF-000282,RND-118-Н-3-36,"Нижня пластина, RND 118, Київ К, 3мм, 36шт",шт,
SF-000283,RND-118-П-8-56,"Промінь, RND 118, Київ К, 8мм, 56шт",шт,
SF-000286,Київ К-ІП70-7-8-9-Нзад-2-28,"Нижня пластина задня ІП70, 7-8-9inch, Київ К, 2мм, 28шт",шт,
SF-000284,Київ К-ІП70-7-8-9-В-3-38,"Верхня пластина, ІП 70, 7-8-9inch, Київ К, 3мм, 38шт",шт,
SF-000288,Київ К-ІП70-8-Пзад-6-54,"Промінь задній, ІП 70 8inch, Київ К, 6мм, 54шт",шт,
SF-000287,Київ К-ІП70-8-Ппер-6-70,"Промінь передній, ІП 70, 8inch, Київ К, 6мм, 70шт",шт,
SF-000049,KF-355(F418)-П-10-29,"Промінь KF, KHARAK-Київ К, 355(F418) 10мм, 29шт",шт,
SF-000285,Київ К-ІП70-7-8-9-Нпер-3-25,"Нижня пластина передня ІП70, 7-8-9inch, Київ К, 3мм, 25шт",шт,
SF-000026,KR-235-П-8-50,"Промінь, KR-235, 8мм, 50шт",шт,
SF-000262,ІП-58-63-64-KR-325-V-ВП-П-10-31,"Промінь, ІП 58-63-64, KR-325 V-ВП, 10мм, 31шт",шт,
SF-000289,Київ К-ІП70-Зам-4-292,"Замок-проставка ІП70, Київ К, 4мм, 292шт",шт,
SF-000299,RND-63-Marun-V2-В-2-14,"Верхня пластина, Marun V1, Phantom, 2мм, 14шт",шт,6500
SF-000298,RND-63-Marun-V2-Фп-3-14,"Фіксуюча пластина, Marun V1, Phantom, 3мм, 14шт",шт,7478
SF-000296,RND-63-Marun-V2-Н-3-36,"Нижня пластина, Marun V1, Phantom, 3мм, 36шт",шт,7563
SF-000297,RND-63-Marun-V2-П-8-50,"Промінь, Marun V1, Phantom, 8мм, 50шт",шт,25000
SF-000301,RND-123-Кріплення-3-10,"Кріплення батареї 15'', ЦДБС, 3мм 10шт.",шт,
SF-000271,RND-66-78-F5-Н-3-50,"Нижня пластина, F5, RND 66-78 ,Київ К, 3мм, 50шт",шт,
,KR-Line-210-415-В-3-28,"Верхня пластина KR Line 210-415, 3мм, 28шт",шт,
,KR-10(218)-Н-3-18,"Нижня пластина KR 10inch(218) 3мм,18шт",шт,93
,KR-10(218)-П-7-60,"Промінь RH10inch(218) 7мм, 60шт",шт,1110
,KR-10(218-225)-Х-4-109,"Хрестик RH10inch(218-225) 4мм, 109шт",шт,1000
,Київ К-ІП9-10-П-7-46,"Промінь ІП9, 10inch, Київ К, 7мм, 46шт",шт,8555
,ІП-73-F11х8-Промінь-Лівий-8-43,"Складова Промінь лівий, F411х8, ІП 73, Київ К, 8мм, 43шт.",шт,400
,ІП-73-F11х8-Промінь-Правий-8-43,"Складова Промінь правий, F411х8, ІП 73, Київ К, 8мм, 43шт.",шт,70
,ІП-73-F11х8-Пластина-2-189,"Складова Пластина мала, F411х8, ІП 73, Київ К, 2мм, 189шт.",шт,
,KF-Пластинка-3-162,,шт,1340
,KR-F-line-Підкладка-10-238,,шт,1340
